OBJECTID,NAME,MUNI_TYPE,MUNITYCODE,COUNTY,GNIS_ID,FIPS_CODE,SWIS,POP1990,POP2000,POP2010,POP2020,DOS_LL,DOSLL_DATE,MAP_SYMBOL,CALC_SQ_MI,DATEMOD
75,Bethlehem,town,2,Albany,978731,3600106354,012200,27552,31304,33656,35034,,,T,49.35679648,2017/11/10 00:00:00+00
76,Big Flats,town,2,Chemung,978732,3601506475,072400,7596,7224,7731,7791,,,T,45.1764492,2017/01/27 00:00:00+00
77,Binghamton,city,1,Broome,978733,3600706607,030200,53008,47380,47376,47969,,,1,11.03864026,2017/09/01 00:00:00+00
78,Binghamton,town,2,Broome,978734,3600706618,032200,5006,4969,4942,4617,,,T,25.2046478,2019/04/26 00:00:00+00
79,Birdsall,town,2,Allegany,978735,3600306717,023600,232,268,221,190,,,T,36.08485358,
80,Black Brook,town,2,Clinton,978736,3601906761,092600,1556,1660,1497,1453,,,T,133.67390105,2018/12/07 00:00:00+00
81,Bleecker,town,2,Fulton,978737,3603506882,172000,515,573,533,545,,,T,59.38227367,
82,Blenheim,town,2,Schoharie,978738,3609506893,432000,332,330,377,308,,,T,34.31540607,2017/11/27 00:00:00+00
83,Blooming Grove,town,2,Orange,978739,3607107003,332000,16673,17351,18028,18811,,,T,35.83985273,2017/10/25 00:00:00+00
84,Bolivar,town,2,Allegany,978740,3600307201,023800,2361,2223,2189,2029,,,T,35.92025062,2019/04/26 00:00:00+00
85,Bolton,town,2,Warren,978741,3611307234,522000,1855,2117,2326,2012,,,T,86.50356011,2018/12/03 00:00:00+00
86,Bombay,town,2,Franklin,978742,3603307278,162600,1158,1192,1357,1254,,,T,56.80768449,2018/07/24 00:00:00+00
87,Boonville,town,2,Oneida,978743,3606507366,302600,4246,4572,4555,4518,,,T,72.59656155,2017/06/28 00:00:00+00
88,Boston,town,2,Erie,978744,3602907454,142600,7445,7897,8023,7948,,,T,35.88545064,
89,Bovina,town,2,Delaware,978745,3602507597,122200,550,664,633,658,,,T,44.71422779,2018/10/26 00:00:00+00
90,Boylston,town,2,Oswego,978746,3607507674,352400,443,505,549,498,,,T,39.15161886,2018/03/12 00:00:00+00
91,Bradford,town,2,Steuben,978747,3610107740,462600,699,763,855,806,,,T,24.80382659,2018/03/01 00:00:00+00
92,Brandon,town,2,Franklin,978748,3603307839,162800,394,542,577,628,,,T,41.27870756,2018/07/24 00:00:00+00
93,Brant,town,2,Erie,978749,3602907894,142800,2119,1906,2065,1912,,,T,35.05390006,
94,Brasher,town,2,St Lawrence,978750,3608907938,402000,2124,2337,2512,2627,,,T,91.9155521,2018/11/14 00:00:00+00
95,Bridgewater,town,2,Oneida,978751,3606508180,302800,1591,1671,1522,1507,,,T,23.75992216,2018/03/09 00:00:00+00
96,Brighton,town,2,Monroe,978753,3605508246,262000,34455,35588,36609,37137,,,T,15.6059983,2017/06/13 00:00:00+00
97,Brighton,town,2,Franklin,978752,3603308213,163000,1511,1682,1435,1174,,,T,82.40118472,2018/07/24 00:00:00+00
98,Bristol,town,2,Ontario,978754,3606908378,322000,2071,2421,2315,2284,,,T,36.69253191,2018/02/08 00:00:00+00
99,Broadalbin,town,2,Fulton,978755,3603508433,172200,4397,5066,5260,5145,,,T,39.79432286,
100,Brookfield,town,2,Madison,978757,3605308587,252000,2225,2403,2545,2247,,,T,78.01038918,2018/03/09 00:00:00+00
