Fiscal Year Ending,Roll Year,SWIS,Municipality,Village,County,School Code,School Name,Type of Value on which Tax Rates are applied,County Tax Levy,County Tax Rate Outside Village (per $1000 value),Municipality Tax Levy,Municipal Tax Rate Outside Village (per $1000 value),School District Tax Levy,School District Tax Rate (per $1000 value),Village Tax Rate (per $1000 value)
2022,2021,34200,Sanford,,Broome,32601,Harpursville,Full Value,"2,053,713",6.93,"1,545,359",5.07,"19,352",15.44,
2022,2021,34200,Sanford,,Broome,34201,Deposit,Full Value,"2,053,713",6.93,"1,545,359",5.07,"3,132,297",12.91,
2022,2021,34200,Sanford,,Broome,35001,Windsor,Full Value,"2,053,713",6.93,"1,545,359",5.07,"500,664",19.49,
2022,2021,34200,Sanford,,Broome,82001,Afton,Full Value,"2,053,713",6.93,"1,545,359",5.07,"662,584",20.06,
2022,2021,34200,Sanford,,Broome,82201,Bainbridge-Guilford,Full Value,"2,053,713",6.93,"1,545,359",5.07,"76,988",19.88,
2022,2021,34400,Triangle,,Broome,32001,Chenango Forks,Full Value,"982,394",6.93,"479,755",3.3,"29,160",23.07,
2022,2021,34400,Triangle,,Broome,34401,Whitney Point,Full Value,"982,394",6.93,"479,755",3.3,"2,732,793",19.21,
2022,2021,34400,Triangle,,Broome,83001,Greene,Full Value,"982,394",6.93,"479,755",3.3,"16,521",16.49,
2022,2021,34400,Triangle,,Broome,112001,Cincinnatus,Full Value,"982,394",6.93,"479,755",3.3,"17,321",16.03,
2022,2021,34400,Triangle,,Broome,113401,Marathon,Full Value,"982,394",6.93,"479,755",3.3,"8,087",14.01,
2022,2021,34600,Union,,Broome,33801,Maine-Endwell,Full Value,"19,672,722",6.93,"9,034,900",3.22,"17,912,432",28.38,
2022,2021,34600,Union,,Broome,34601,Union-Endicott,Full Value,"19,672,722",6.93,"9,034,900",3.22,"37,633,154",27.73,
2022,2021,34600,Union,,Broome,34602,Johnson City,Full Value,"19,672,722",6.93,"9,034,900",3.22,"23,515,104",27.31,
2022,2021,34800,Vestal,,Broome,32801,Susquehanna Valley,Full Value,"13,780,338",6.93,"11,524,270",5.76,"81,582",27.50,
2022,2021,34800,Vestal,,Broome,34801,Vestal,Full Value,"13,780,338",6.93,"11,524,270",5.76,"43,479,565",21.57,
2022,2021,35000,Windsor,,Broome,32601,Harpursville,Full Value,"2,984,605",6.93,"1,368,541",3.12,"1,010",15.45,
2022,2021,35000,Windsor,,Broome,32801,Susquehanna Valley,Full Value,"2,984,605",6.93,"1,368,541",3.12,"50,210",27.50,
2022,2021,35000,Windsor,,Broome,35001,Windsor,Full Value,"2,984,605",6.93,"1,368,541",3.12,"8,545,419",19.49,
2022,2021,41200,Olean,,Cattaraugus,41200,Olean,Full Value,"6,131,820",10.86,"7,285,307",13.34,"11,982,924",21.45,
2022,2021,41600,Salamanca,,Cattaraugus,41600,Salamanca,Full Value,"1,172,478",10.86,"963,725",9.25,"118,700",1.08,
2022,2021,42000,Allegany,,Cattaraugus,42001,Allegany-Limestone,Full Value,"4,259,756",10.86,"1,614,059",4.14,"5,660,200",14.26,
2022,2021,42200,Ashford,,Cattaraugus,42204,West Valley,Full Value,"2,031,798",10.86,"453,360",2.47,"1,990,602",15.25,
2022,2021,42200,Ashford,,Cattaraugus,143801,Springville-Griffith,Full Value,"2,031,798",10.86,"453,360",2.47,"902,966",17.08,
2022,2021,42400,Carrollton,,Cattaraugus,41600,Salamanca,Full Value,"1,022,360",10.86,"236,523",2.56,"15,882",1.08,
2022,2021,42400,Carrollton,,Cattaraugus,42001,Allegany-Limestone,Full Value,"1,022,360",10.86,"236,523",2.56,"1,136,565",14.26,
2022,2021,42600,Coldspring,,Cattaraugus,47601,Randolph,Full Value,"824,867",10.86,"141,733",1.9,"588,654",7.86,
2022,2021,42800,Conewango,,Cattaraugus,47601,Randolph,Full Value,"737,817",10.86,"378,309",5.68,"512,446",7.86,
2022,2021,42800,Conewango,,Cattaraugus,63001,Pine Valley,Full Value,"737,817",10.86,"378,309",5.68,"31,540",14.76,
2022,2021,43000,Dayton,,Cattaraugus,46402,Cattaraugus - Little Valley,Full Value,"855,704",10.86,"383,297",4.97,"90,178",10.88,
2022,2021,43000,Dayton,,Cattaraugus,47201,Gowanda,Full Value,"855,704",10.86,"383,297",4.97,"489,298",15.10,
2022,2021,43000,Dayton,,Cattaraugus,63001,Pine Valley,Full Value,"855,704",10.86,"383,297",4.97,"554,336",14.75,
2022,2021,43200,East Otto,,Cattaraugus,42204,West Valley,Full Value,"1,051,795",10.86,"660,568",6.87,"144,738",15.26,
2022,2021,43200,East Otto,,Cattaraugus,43601,Ellicottville,Full Value,"1,051,795",10.86,"660,568",6.87,"68,638",8.98,
2022,2021,43200,East Otto,,Cattaraugus,46402,Cattaraugus - Little Valley,Full Value,"1,051,795",10.86,"660,568",6.87,"866,660",10.88,
2022,2021,43200,East Otto,,Cattaraugus,143801,Springville-Griffith,Full Value,"1,051,795",10.86,"660,568",6.87,"6,234",17.08,
2022,2021,43600,Ellicottville,,Cattaraugus,42204,West Valley,Full Value,"7,072,177",10.86,"920,697",1.45,"382,088",15.26,
2022,2021,43600,Ellicottville,,Cattaraugus,43601,Ellicottville,Full Value,"7,072,177",10.86,"920,697",1.45,"5,504,221",8.98,
2022,2021,43800,Farmersville,,Cattaraugus,24801,Cuba-Rushford,Full Value,"635,395",10.86,"728,390",8.75,"383,382",12.69,
2022,2021,43800,Farmersville,,Cattaraugus,44001,Franklinville,Full Value,"635,395",10.86,"728,390",8.75,"675,571",15.49,
2022,2021,43800,Farmersville,,Cattaraugus,48401,Yorkshire-Pioneer,Full Value,"635,395",10.86,"728,390",8.75,"129,401",11.92,
2022,2021,44000,Franklinville,,Cattaraugus,42204,West Valley,Full Value,"1,563,331",10.86,"799,278",5.57,"25,839",15.26,
